yyyy-mm-dd,time(UTC),Night/Fog(True/False),Low_Clouds(True/False),High_Clouds(True/False),Clear(True/False)
2020-01-01,00:33:00,True,False,False,False
2020-01-01,01:02:00,True,False,False,False
2020-01-01,01:03:00,True,False,False,False
2020-01-01,01:32:00,True,False,False,False
2020-01-01,01:33:00,True,False,False,False
2020-01-01,02:00:00,True,False,False,False
2020-01-01,02:02:00,True,False,False,False
2020-01-01,02:03:00,True,False,False,False
2020-01-01,02:30:00,True,False,False,False
2020-01-01,02:32:00,True,False,False,False
2020-01-01,02:33:00,True,False,False,False
2020-01-01,03:00:00,True,False,False,False
2020-01-01,03:02:00,True,False,False,False
2020-01-01,03:32:00,True,False,False,False
2020-01-01,03:33:00,True,False,False,False
2020-01-01,04:00:00,True,False,False,False
2020-01-01,04:02:00,True,False,False,False
2020-01-01,04:03:00,True,False,False,False
2020-01-01,04:32:00,True,False,False,False
2020-01-01,04:33:00,True,False,False,False
2020-01-01,05:02:00,True,False,False,False
2020-01-01,05:03:00,True,False,False,False
2020-01-01,05:30:00,True,False,False,False
2020-01-01,05:32:00,True,False,False,False
2020-01-01,05:33:00,True,False,False,False
2020-01-01,06:02:00,True,False,False,False
2020-01-01,06:03:00,True,False,False,False
2020-01-01,06:32:00,True,False,False,False
2020-01-01,06:33:00,True,False,False,False
2020-01-01,07:02:00,True,False,False,False
2020-01-01,07:03:00,True,False,False,False
2020-01-01,07:32:00,True,False,False,False
2020-01-01,07:33:00,True,False,False,False
2020-01-01,08:32:00,True,False,False,False
2020-01-01,08:33:00,True,False,False,False
2020-01-01,09:02:00,True,False,False,False
2020-01-01,09:03:00,True,False,False,False
2020-01-01,09:32:00,True,False,False,False
2020-01-01,09:33:00,True,False,False,False
2020-01-01,10:02:00,True,False,False,False
2020-01-01,10:03:00,True,False,False,False
2020-01-01,10:32:00,False,False,False,True
2020-01-01,10:33:00,False,False,False,True
2020-01-01,11:00:00,True,False,False,False
2020-01-01,11:02:00,True,False,False,False
2020-01-01,11:03:00,True,False,False,False
2020-01-01,12:00:00,True,False,False,False
2020-01-01,12:02:00,True,False,False,False
2020-01-01,12:03:00,True,False,False,False
2020-01-01,12:30:00,True,False,False,False
2020-01-01,12:32:00,False,False,False,True
2020-01-01,12:33:00,False,False,False,True
2020-01-01,13:02:00,True,False,False,False
2020-01-01,13:03:00,True,False,False,False
2020-01-01,14:30:00,True,False,False,False
2020-01-01,14:32:00,True,False,False,False
2020-01-01,14:33:00,True,False,False,False
2020-01-01,15:02:00,True,False,False,False
2020-01-01,15:03:00,True,False,False,False
2020-01-01,15:32:00,False,False,False,True
2020-01-01,15:33:00,False,False,False,True
2020-01-01,16:02:00,False,False,False,True
2020-01-01,16:04:00,False,False,False,True
2020-01-01,16:30:00,False,False,False,True
2020-01-01,16:32:00,False,False,False,True
2020-01-01,16:33:00,True,False,False,False
2020-01-01,17:02:00,True,False,False,False
2020-01-01,17:03:00,True,False,False,False
2020-01-01,17:32:00,False,False,False,True
2020-01-01,17:33:00,True,False,False,False
2020-01-01,18:02:00,True,False,False,False
2020-01-01,18:03:00,True,False,False,False
2020-01-01,18:32:00,True,False,False,False
2020-01-01,18:33:00,False,False,False,True
2020-01-01,19:02:00,True,False,False,False
2020-01-01,19:03:00,True,False,False,False
2020-01-01,19:32:00,True,False,False,False
2020-01-01,19:33:00,True,False,False,False
2020-01-01,20:32:00,True,False,False,False
2020-01-01,20:33:00,True,False,False,False
2020-01-01,21:02:00,True,False,False,False
2020-01-01,21:03:00,False,False,False,True
2020-01-01,21:32:00,True,False,False,False
2020-01-01,21:33:00,True,False,False,False
2020-01-01,22:02:00,True,False,False,False
2020-01-01,22:03:00,True,False,False,False
2020-01-01,22:32:00,False,False,False,True
2020-01-01,22:33:00,True,False,False,False
2020-01-01,23:00:00,True,False,False,False
2020-01-01,23:02:00,True,False,False,False
2020-01-01,23:03:00,False,False,False,True
2020-01-02,00:03:00,True,False,False,False
2020-01-02,00:33:00,True,False,False,False
2020-01-02,01:00:00,True,False,False,False
2020-01-02,01:02:00,True,False,False,False
2020-01-02,01:03:00,True,False,False,False
2020-01-02,01:32:00,True,False,False,False
2020-01-02,01:33:00,True,False,False,False
2020-01-02,02:02:00,True,False,False,False
2020-01-02,02:03:00,True,False,False,False
2020-01-02,02:32:00,True,False,False,False
2020-01-02,02:33:00,True,False,False,False
2020-01-02,03:02:00,True,False,False,False
2020-01-02,03:30:00,True,False,False,False
2020-01-02,04:02:00,True,False,False,False
2020-01-02,04:03:00,True,False,False,False
2020-01-02,04:32:00,True,False,False,False
2020-01-02,04:33:00,True,False,False,False
2020-01-02,05:02:00,True,False,False,False
2020-01-02,05:03:00,True,False,False,False
2020-01-02,05:32:00,True,False,False,False
2020-01-02,05:33:00,True,False,False,False
2020-01-02,06:00:00,True,False,False,False
2020-01-02,06:02:00,True,False,False,False
2020-01-02,06:03:00,True,False,False,False
2020-01-02,06:32:00,True,False,False,False
2020-01-02,06:33:00,True,False,False,False
2020-01-02,07:02:00,True,False,False,False
2020-01-02,07:03:00,True,False,False,False
2020-01-02,07:30:00,True,False,False,False
2020-01-02,07:32:00,True,False,False,False
2020-01-02,07:33:00,True,False,False,False
2020-01-02,08:02:00,True,False,False,False
2020-01-02,08:03:00,True,False,False,False
2020-01-02,08:30:00,True,False,False,False
2020-01-02,08:32:00,True,False,False,False
2020-01-02,08:33:00,True,False,False,False
2020-01-02,09:02:00,True,False,False,False
2020-01-02,09:03:00,True,False,False,False
2020-01-02,09:32:00,True,False,False,False
2020-01-02,09:33:00,True,False,False,False
2020-01-02,10:00:00,True,False,False,False
2020-01-02,10:02:00,True,False,False,False
2020-01-02,10:03:00,True,False,False,False
2020-01-02,10:30:00,True,False,False,False
2020-01-02,10:32:00,True,False,False,False
2020-01-02,10:34:00,True,False,False,False
2020-01-02,11:02:00,True,False,False,False
2020-01-02,11:30:00,False,False,False,True
2020-01-02,12:02:00,True,False,False,False
2020-01-02,12:30:00,False,False,False,True
2020-01-02,12:32:00,True,False,False,False
2020-01-02,12:33:00,True,False,False,False
2020-01-02,13:02:00,True,False,False,False
2020-01-02,13:03:00,True,False,False,False
2020-01-02,13:30:00,True,False,False,False
2020-01-02,14:02:00,True,False,False,False
2020-01-02,14:03:00,True,False,False,False
2020-01-02,14:32:00,True,False,False,False
2020-01-02,14:33:00,True,False,False,False
2020-01-02,15:32:00,True,False,False,False
2020-01-02,16:02:00,True,False,False,False
2020-01-02,16:32:00,False,False,False,True
2020-01-02,17:02:00,True,False,False,False
2020-01-02,17:03:00,True,False,False,False
2020-01-02,17:32:00,False,False,False,True
2020-01-02,17:33:00,True,False,False,False
2020-01-02,18:02:00,True,False,False,False
2020-01-02,18:03:00,True,False,False,False
2020-01-02,18:32:00,True,False,False,False
2020-01-02,18:33:00,True,False,False,False
2020-01-02,19:02:00,True,False,False,False
2020-01-02,19:03:00,True,False,False,False
2020-01-02,19:30:00,True,False,False,False
2020-01-02,19:32:00,True,False,False,False
2020-01-02,19:33:00,True,False,False,False
2020-01-02,20:00:00,True,False,False,False
2020-01-02,20:02:00,True,False,False,False
2020-01-02,20:03:00,True,False,False,False
2020-01-02,20:32:00,True,False,False,False
2020-01-02,20:33:00,True,False,False,False
2020-01-02,21:32:00,True,False,False,False
2020-01-02,21:33:00,True,False,False,False
2020-01-02,22:02:00,True,False,False,False
2020-01-02,22:03:00,True,False,False,False
2020-01-02,22:32:00,True,False,False,False
2020-01-02,22:33:00,True,False,False,False
2020-01-02,23:02:00,True,False,False,False
2020-01-02,23:03:00,True,False,False,False
2020-01-02,23:32:00,True,False,False,False
2020-01-02,23:33:00,True,False,False,False
2020-01-03,00:02:00,True,False,False,False
2020-01-03,00:03:00,True,False,False,False
2020-01-03,00:30:00,True,False,False,False
2020-01-03,00:32:00,True,False,False,False
2020-01-03,00:33:00,True,False,False,False
2020-01-03,01:00:00,True,False,False,False
2020-01-03,01:02:00,True,False,False,False
2020-01-03,01:03:00,True,False,False,False
2020-01-03,01:30:00,True,False,False,False
2020-01-03,01:32:00,True,False,False,False
2020-01-03,01:33:00,True,False,False,False
2020-01-03,02:02:00,True,False,False,False
2020-01-03,02:03:00,True,False,False,False
2020-01-03,02:32:00,True,False,False,False
2020-01-03,02:33:00,True,False,False,False
2020-01-03,03:30:00,True,False,False,False
2020-01-03,03:32:00,True,False,False,False
2020-01-03,03:33:00,True,False,False,False
2020-01-03,04:02:00,True,False,False,False
2020-01-03,04:03:00,True,False,False,False
2020-01-03,04:30:00,True,False,False,False
2020-01-03,04:32:00,True,False,False,False
2020-01-03,04:33:00,True,False,False,False
2020-01-03,05:02:00,True,False,False,False
2020-01-03,05:32:00,True,False,False,False
2020-01-03,06:02:00,True,False,False,False
2020-01-03,06:30:00,True,False,False,False
2020-01-03,07:02:00,True,False,False,False
2020-01-03,07:03:00,True,False,False,False
2020-01-03,07:32:00,True,False,False,False
2020-01-03,07:33:00,True,False,False,False
2020-01-03,08:02:00,True,False,False,False
2020-01-03,08:03:00,True,False,False,False
2020-01-03,08:30:00,True,False,False,False
2020-01-03,08:32:00,True,False,False,False
2020-01-03,08:33:00,True,False,False,False
2020-01-03,09:02:00,True,False,False,False
2020-01-03,09:03:00,True,False,False,False
2020-01-03,09:32:00,True,False,False,False
2020-01-03,09:34:00,True,False,False,False
2020-01-03,10:00:00,True,False,False,False
2020-01-03,10:02:00,True,False,False,False
2020-01-03,10:03:00,True,False,False,False
2020-01-03,10:30:00,False,False,False,True
2020-01-03,10:32:00,False,False,False,True
2020-01-03,10:33:00,False,False,False,True
2020-01-03,11:02:00,False,False,False,True
2020-01-03,11:03:00,False,False,False,True
2020-01-03,11:32:00,False,False,False,True
2020-01-03,12:00:00,False,False,False,True
2020-01-03,12:32:00,False,False,False,True
2020-01-03,13:02:00,False,False,False,True
2020-01-03,13:03:00,False,False,False,True
2020-01-04,06:02:00,True,False,False,False
2020-01-04,08:32:00,True,False,False,False
2020-01-04,09:00:00,True,False,False,False
2020-01-04,09:02:00,True,False,False,False
2020-01-04,09:03:00,True,False,False,False
2020-01-04,09:32:00,True,False,False,False
2020-01-04,09:33:00,True,False,False,False
2020-01-04,10:02:00,True,False,False,False
2020-01-04,10:03:00,True,False,False,False
2020-01-04,11:02:00,False,False,False,True
2020-01-04,11:03:00,False,False,False,True
2020-01-04,11:32:00,False,False,False,True
2020-01-04,11:33:00,False,False,False,True
2020-01-04,12:02:00,False,False,False,True
2020-01-04,12:03:00,False,False,False,True
2020-01-04,12:32:00,False,False,False,True
2020-01-04,12:33:00,False,False,False,True
2020-01-04,13:02:00,False,False,False,True
2020-01-04,13:03:00,False,False,False,True
2020-01-04,13:30:00,True,False,False,False
2020-01-04,13:32:00,True,False,False,False
2020-01-04,13:33:00,True,False,False,False
2020-01-04,14:02:00,True,False,False,False
2020-01-04,14:03:00,True,False,False,False
2020-01-04,14:30:00,True,False,False,False
2020-01-04,14:32:00,True,False,False,False
2020-01-04,14:33:00,True,False,False,False
2020-01-04,15:02:00,True,False,False,False
2020-01-04,15:03:00,True,False,False,False
2020-01-04,15:32:00,True,False,False,False
2020-01-04,15:33:00,True,False,False,False
2020-01-04,16:32:00,True,False,False,False
2020-01-04,16:33:00,True,False,False,False
2020-01-04,17:02:00,True,False,False,False
2020-01-04,17:03:00,True,False,False,False
2020-01-04,17:32:00,True,False,False,False
2020-01-04,17:33:00,True,False,False,False
2020-01-04,18:02:00,True,False,False,False
2020-01-04,18:03:00,True,False,False,False
2020-01-04,18:30:00,True,False,False,False
2020-01-04,18:32:00,True,False,False,False
2020-01-04,18:33:00,True,False,False,False
2020-01-04,19:02:00,True,False,False,False
2020-01-04,19:03:00,True,False,False,False
2020-01-04,19:32:00,True,False,False,False
2020-01-04,19:33:00,True,False,False,False
2020-01-04,20:02:00,True,False,False,False
2020-01-04,20:03:00,True,False,False,False
2020-01-04,20:32:00,True,False,False,False
2020-01-04,20:33:00,True,False,False,False
2020-01-04,21:02:00,True,False,False,False
2020-01-04,21:03:00,True,False,False,False
2020-01-04,21:32:00,True,False,False,False
2020-01-04,21:33:00,True,False,False,False
2020-01-04,22:02:00,True,False,False,False
2020-01-04,22:03:00,True,False,False,False
2020-01-04,22:30:00,True,False,False,False
2020-01-04,22:32:00,True,False,False,False
2020-01-04,22:33:00,True,False,False,False
2020-01-04,23:02:00,True,False,False,False
2020-01-04,23:03:00,True,False,False,False
2020-01-04,23:30:00,True,False,False,False
2020-01-04,23:32:00,True,False,False,False
2020-01-04,23:33:00,True,False,False,False
2020-01-05,00:02:00,True,False,False,False
2020-01-05,00:32:00,True,False,False,False
2020-01-05,01:02:00,True,False,False,False
2020-01-05,01:30:00,True,False,False,False
2020-01-05,01:33:00,True,False,False,False
2020-01-05,02:02:00,True,False,False,False
2020-01-05,02:03:00,True,False,False,False
2020-01-05,02:32:00,True,False,False,False
2020-01-05,02:33:00,True,False,False,False
2020-01-05,03:02:00,True,False,False,False
2020-01-05,03:04:00,True,False,False,False
2020-01-05,03:30:00,True,False,False,False
2020-01-05,03:32:00,True,False,False,False
2020-01-05,03:33:00,True,False,False,False
2020-01-05,04:02:00,True,False,False,False
2020-01-05,04:03:00,True,False,False,False
2020-01-05,04:30:00,True,False,False,False
2020-01-05,04:32:00,True,False,False,False
2020-01-05,05:00:00,True,False,False,False
2020-01-05,05:02:00,True,False,False,False
2020-01-05,05:32:00,True,False,False,False
2020-01-05,05:33:00,True,False,False,False
2020-01-05,06:00:00,True,False,False,False
2020-01-05,06:02:00,True,False,False,False
2020-01-05,06:32:00,True,False,False,False
2020-01-05,06:33:00,True,False,False,False
2020-01-05,08:02:00,True,False,False,False
2020-01-05,08:03:00,True,False,False,False
2020-01-05,08:30:00,True,False,False,False
2020-01-05,08:32:00,True,False,False,False
2020-01-05,08:33:00,True,False,False,False
2020-01-05,09:02:00,True,False,False,False
2020-01-05,09:03:00,True,False,False,False
2020-01-05,09:32:00,True,False,False,False
2020-01-05,09:33:00,True,False,False,False
2020-01-05,10:02:00,False,False,False,True
2020-01-05,10:03:00,True,False,False,False
2020-01-05,10:32:00,False,False,False,True
2020-01-05,10:33:00,False,False,False,True
2020-01-05,11:00:00,False,False,False,True
2020-01-05,11:32:00,False,False,False,True
2020-01-05,11:33:00,False,False,False,True
2020-01-05,12:02:00,False,False,False,True
2020-01-05,12:03:00,False,False,False,True
2020-01-05,12:30:00,False,False,False,True
2020-01-05,12:32:00,False,False,False,True
2020-01-05,12:33:00,False,False,False,True
2020-01-05,13:02:00,False,False,False,True
2020-01-05,13:03:00,False,False,False,True
2020-01-05,13:30:00,False,False,False,True
2020-01-05,13:32:00,False,False,False,True
2020-01-05,13:33:00,False,False,False,True
2020-01-05,14:00:00,False,False,False,True
2020-01-05,14:02:00,False,False,False,True
2020-01-05,14:03:00,False,False,False,True
2020-01-05,14:32:00,False,False,False,True
2020-01-05,14:33:00,False,False,False,True
2020-01-05,15:02:00,False,False,False,True
2020-01-05,15:32:00,False,False,False,True
2020-01-05,16:00:00,False,False,False,True
2020-01-05,16:32:00,False,False,False,True
2020-01-05,16:33:00,False,False,False,True
2020-01-05,17:02:00,False,False,False,True
2020-01-05,17:03:00,False,False,False,True
2020-01-05,17:32:00,False,False,False,True
2020-01-05,17:33:00,False,False,False,True
2020-01-05,18:02:00,False,False,False,True
2020-01-05,18:03:00,False,False,False,True
2020-01-05,18:32:00,False,False,False,True
2020-01-05,18:33:00,False,False,False,True
2020-01-05,19:02:00,True,False,False,False
2020-01-05,19:03:00,False,False,False,True
2020-01-05,19:30:00,True,False,False,False
2020-01-05,19:32:00,True,False,False,False
2020-01-05,19:33:00,True,False,False,False
2020-01-05,20:00:00,True,False,False,False
2020-01-05,20:02:00,True,False,False,False
2020-01-05,20:03:00,True,False,False,False
2020-01-05,20:30:00,True,False,False,False
2020-01-05,20:32:00,True,False,False,False
2020-01-05,20:33:00,True,False,False,False
2020-01-05,21:02:00,True,False,False,False
2020-01-05,21:03:00,True,False,False,False
2020-01-05,21:32:00,True,False,False,False
2020-01-05,21:33:00,True,False,False,False
2020-01-05,22:00:00,True,False,False,False
2020-01-05,22:02:00,True,False,False,False
2020-01-05,22:03:00,True,False,False,False
2020-01-05,22:32:00,True,False,False,False
2020-01-05,22:33:00,True,False,False,False
2020-01-05,23:02:00,True,False,False,False
2020-01-05,23:03:00,True,False,False,False
2020-01-05,23:32:00,True,False,False,False
2020-01-05,23:33:00,True,False,False,False
2020-01-06,00:02:00,True,False,False,False
